Title,Description,Labels,Start Date,End Date
[Sprint 00] ERD & Schema Design Toàn hệ thống,"Thiết kế toàn bộ bảng, quan hệ, index cho Phase 1 (HRM, CRM, Finote...) — xuất ERD diagram.","sprint-00, backend",2026-04-12,2026-04-14
[Sprint 00] Chuẩn hóa Convention & Tech Stack,"Đặt naming convention, cấu trúc thư mục Monorepo, cấu hình ESLint/Prettier/Husky.","sprint-00, backend",2026-04-13,2026-04-15
[Sprint 00] Setup Môi trường Dev (Docker Local),"Docker Compose local: Postgres + Redis + pgAdmin, file .env.example.","sprint-00, backend",2026-04-14,2026-04-16
[Sprint 00] Refactor & Review Database Schema,"Review lại schema sau feedback, chạy migration lần đầu, seed data mẫu.","sprint-00, backend",2026-04-16,2026-04-18
[Sprint 01] Setup Database Core & Users,"Drizzle ORM: Bảng Users, User_Metadata, Sessions.","sprint-01, backend",2026-04-18,2026-04-21
[Sprint 01] API Đăng nhập & Xác thực (Auth),"JWT, Refresh Token, Lưu Session Redis + Postgres.","sprint-01, backend",2026-04-19,2026-04-23
[Sprint 01] API Phân quyền động (Dynamic RBAC),"API tạo Role, Permission, gán quyền cho User.","sprint-01, backend",2026-04-22,2026-04-25
[Sprint 01] Setup React Admin Template,"Khởi tạo Frontend, Layout, Sidebar, tích hợp Axios.","sprint-01, frontend",2026-04-23,2026-04-26
[Sprint 01] Giao diện Auth & Phân quyền,Màn hình Đăng nhập. Bảng quản lý Role & Ma trận quyền.,"sprint-01, frontend",2026-04-26,2026-04-30
[Sprint 02] API Cơ cấu Tổ chức (Org Units),"Thuật toán Materialized Path cho cây phòng ban (Create, Move, Tree).","sprint-02, backend, hrm",2026-05-02,2026-05-06
[Sprint 02] API Định biên & Hồ sơ Nhân viên,"CRUD Positions, Job Titles, Employees profile.","sprint-02, backend, hrm",2026-05-05,2026-05-09
[Sprint 02] API Hợp đồng Lao động Nhân viên,"CRUD hợp đồng lao động, cảnh báo hết hạn HĐLĐ trước 30 ngày.","sprint-02, backend, hrm",2026-05-07,2026-05-11
[Sprint 02] Giao diện Sơ đồ Công ty (Org Chart),"Vẽ cây phòng ban trực quan, kéo thả hoặc dạng danh sách.","sprint-02, frontend, hrm",2026-05-09,2026-05-13
[Sprint 02] Giao diện Quản lý Hồ sơ Nhân sự,"Bảng nhân viên (Search, Filter, Phân trang), Form tạo mới.","sprint-02, frontend, hrm",2026-05-11,2026-05-15
[Sprint 02] Giao diện Hợp đồng Lao động,"Danh sách HĐLĐ có badge cảnh báo sắp hết hạn, form tạo/gia hạn.","sprint-02, frontend, hrm",2026-05-13,2026-05-16
[Sprint 03] Tích hợp Google Workspace API,"Adapter lưu file lên Google Drive, bảng Attachments.","sprint-03, backend",2026-05-16,2026-05-20
[Sprint 03] API Quản lý Khách hàng (CRM Leads),"Bảng Organizations, API Kanban thu thập và đổi trạng thái Lead.","sprint-03, backend, crm, lead",2026-05-19,2026-05-23
[Sprint 03] API Báo cáo Lead theo Nguồn & Giai đoạn,Thống kê số Lead theo từng nguồn (Source) và tỷ lệ chuyển đổi qua từng bước.,"sprint-03, backend, crm, lead",2026-05-21,2026-05-24
[Sprint 03] Giao diện Upload File & View File,"Component Upload dùng chung, nút mở file thẳng trên Google Docs.","sprint-03, frontend",2026-05-22,2026-05-26
[Sprint 03] Giao diện Kanban Leads,Kéo thả Lead các bước (Mới -> Đang tư vấn -> Chốt).,"sprint-03, frontend, crm, lead",2026-05-24,2026-05-29
[Sprint 03] Giao diện Báo cáo Lead,"Dashboard thống kê Lead theo nguồn, giai đoạn, thời gian.","sprint-03, frontend, crm, lead",2026-05-27,2026-05-30
[Sprint 04] API Quản lý Hợp đồng (Contracts),CRUD Hợp đồng khách hàng. Cronjob cảnh báo trước khi hết hạn 7 ngày.,"sprint-04, backend, crm",2026-05-30,2026-06-03
[Sprint 04] API Báo giá (Quotes) & Xuất PDF,"Tính toán báo giá, lưu DB, gen ra file PDF gửi khách.","sprint-04, backend, crm",2026-06-02,2026-06-06
[Sprint 04] Giao diện Dashboard CRM Tổng quan,"Widget tổng hợp: Tổng Lead, Hợp đồng sắp hết hạn, Doanh thu dự kiến.","sprint-04, frontend, crm",2026-06-04,2026-06-08
[Sprint 04] Giao diện Quản lý Hợp đồng,Danh sách hợp đồng có badge cảnh báo hết hạn.,"sprint-04, frontend, crm",2026-06-05,2026-06-09
[Sprint 04] Giao diện Tạo Báo giá,"Bảng nhập các item, tính tổng tiền, nút Download PDF.","sprint-04, frontend, crm",2026-06-07,2026-06-12
